line;code;canonical name;category;type;family code;family;sortkey?;autodetect?;exceptional?;script codes;other names;standard characters
110;aez;Aeka;Aeka language;;ngf;Trans-New Guinea;;;;Latn;Aiga,Orokaiva;
111;af;Afrikaans;Afrikaans language;;gmw;West Germanic;sortkey;;;Latn,Arab;;
112;afa-pro;Proto-Afro-Asiatic;Proto-Afro-Asiatic language;reconstructed;afa;Afro-Asiatic;;;exceptional;Latinx;Hamito-Semitic;
113;afb;Gulf Arabic;Gulf Arabic language;;sem-arb;Arabic;;autodetect;;Arab;;
114;afd;Andai;Andai language;;paa-arf;Arafundi;;;;Latn;;
115;afe;Putukwam;Putukwam language;;nic-bco;Benue-Congo;;;;Latn;;
116;afg;Afghan Sign Language;Afghan Sign Language;;sgn;sign;;;;;;
117;afh;Afrihili;Afrihili language;appendix-constructed;art;constructed;;;;;;
118;afi;Akrukay;Akrukay language;;paa-ram;Ramu;;;;Latn;;
119;afk;Nanubae;Nanubae language;;paa-arf;Arafundi;;;;Latn;;
120;afn;Defaka;Defaka language;;nic;Niger-Congo;;;;Latn;;
121;afo;Eloyi;Eloyi language;;nic-bco;Benue-Congo;;;;Latn;;
122;afp;Tapei;Tapei language;;paa-arf;Arafundi;;;;Latn;;
123;afs;Afro-Seminole Creole;Afro-Seminole Creole language;;crp;creole or pidgin;;;;Latn;;
124;aft;Afitti;Afitti language;;sdv;Eastern Sudanic;;;;Latn;Affiti,Ditti;
125;afu;Awutu;Awutu language;;alv-kwa;Kwa;;;;Latn;Efutu;
126;afz;Obokuitai;Obokuitai language;;paa-lkp;Lakes Plain;;;;Latn;;
127;aga;Aguano;Aguano language;;;;;;Latn;;
128;agb;Legbo;Legbo language;;nic-bco;Benue-Congo;;;;Latn;;
129;agc;Agatu;Agatu language;;alv;Atlantic-Congo;;;;Latn;;
130;agd;Agarabi;Agarabi language;;paa-kag;Kainantu-Goroka;;;;Latn;;
131;age;Angal;Angal language;;ngf;Trans-New Guinea;;;;Latn;;
132;agf;Arguni;Arguni language;;plf;Central Malayo-Polynesian;;;;Latn;;
133;agg;Angor;Angor language;;paa;Papuan;;;;Latn;;
134;agh;Ngelima;Ngelima language;;bnt;Bantu;;;;Latn;;
135;agi;Agariya;Agariya language;;mun;Munda;;;;;;
136;agj;Argobba;Argobba language;;sem-eth;Ethiopian Semitic;;;;Ethi;;
137;agk;Isarog Agta;Isarog Agta language;;phi;Philippine;;;;Latn;;
138;agl;Fembe;Fembe language;;ngf;Trans-New Guinea;;;;Latn;Agala;
139;agm;Angaataha;Angaataha language;;ngf;Trans-New Guinea;;;;Latn;;
140;agn;Agutaynen;Agutaynen language;;phi;Philippine;;;;Latn;;
141;ago;Tainae;Tainae language;;ngf;Trans-New Guinea;;;;Latn;;
142;agq;Aghem;Aghem language;;alv;Atlantic-Congo;;;;Latn;;
143;agr;Aguaruna;Aguaruna language;;sai-jiv;Jivaroan;;;;Latn;;
144;ags;Esimbi;Esimbi language;;nic-bod;Bantoid;;;;Latn;Isimbi;
145;agt;Central Cagayan Agta;Central Cagayan Agta language;;phi;Philippine;;;;Latn;;
146;agu;Aguacateca;Aguacateca language;;myn;Mayan;;;;Latn;Aguacatec,Aguacateco,Awakatek,Awakateko,Awakateka;
147;agv;Remontado Agta;Remontado Agta language;;phi;Philippine;;;;Latn;Remontado Dumagat,Sinauna,Hatang Kayey;
148;agw;Kahua;Kahua language;;poz-sls;Southeast Solomonic;;;;Latn;;
149;agx;Aghul;Aghul language;;cau-lzg;Lezghian;;;;Cyrl;Agul;
150;agy;Southern Alta;Southern Alta language;;phi;Philippine;;;;Latn;;
151;agz;Mt. Iriga Agta;Mt. Iriga Agta language;;phi;Philippine;;;;Latn;;
152;aha;Ahanta;Ahanta language;;alv-kwa;Kwa;;;;Latn;;
153;ahb;Axamb;Axamb language;;poz-vnc;North-Central Vanuatu;;;;Latn;;
154;ahg;Qimant;Qimant language;;cus;Cushitic;;;;Latn;;
155;ahh;Aghu;Aghu language;;ngf;Trans-New Guinea;;;;Latn;;
156;ahi;Tiagbamrin Aizi;Tiagbamrin Aizi language;;kro;Kru;;;;Latn;;
157;ahk;Akha;Akha language;;tbq-lol;Loloish;;;;Latn,Mymr,Thai;Aka,Ako;
158;ahl;Igo;Igo language;;alv-kwa;Kwa;;;;Latn;;
159;ahm;Mobumrin Aizi;Mobumrin Aizi language;;kro;Kru;;;;Latn;;
160;ahn;Àhàn;Àhàn language;;nic-bco;Benue-Congo;;;;Latn;Ahan,Ahaan;
161;aho;Ahom;Ahom language;;tai;Tai;;;;Ahom;;
162;ahp;Aproumu Aizi;Aproumu Aizi language;;kro;Kru;;;;Latn;;
163;ahr;Ahirani;Ahirani language;;inc;Indo-Aryan;;;;Deva;Khandeshi,Khandesi;
164;ahs;Ashe;Ashe language;;nic-bco;Benue-Congo;;;;Latn;;
165;aht;Ahtna;Ahtna language;;ath-nor;North Athabaskan;;;;Latn;;
166;aia;Arosi;Arosi language;;poz-sls;Southeast Solomonic;;;;Latn;;
167;aib;Aynu;Aynu language;;trk;Turkic;;;;;Ainu,Ainu (China);
168;aic;Ainbai;Ainbai language;;paa;Papuan;;;;Latn;;
169;aid;Alngith;Alngith language;;aus-pmn;Paman;;;;Latn;;
170;aie;Amara;Amara language;;poz-ocw;Western Oceanic;;;;Latn;;
171;aif;Agi;Agi language;;qfa-tor;Torricelli;;;;Latn;;
172;aig;Antigua and Barbuda Creole English;Antigua and Barbuda Creole English language;;crp;creole or pidgin;;;;Latn;;
173;aih;Ai-Cham;Ai-Cham language;;qfa-tak;Tai-Kadai;;;;;;
174;aii;Assyrian Neo-Aramaic;Assyrian Neo-Aramaic language;;sem-ara;Aramaic;;;;Syrc;;
175;aij;Lishanid Noshan;Lishanid Noshan language;;sem-ara;Aramaic;;;;Hebr;;
176;aik;Ake;Ake language;;nic-bco;Benue-Congo;;;;Latn;;
177;ail;Aimele;Aimele language;;ngf;Trans-New Guinea;;;;Latn;;
178;aim;Aimol;Aimol language;;tbq-kuk;Kukish;;;;;;
179;ain;Ainu;Ainu language;;qfa-iso;isolate;;;;Kana,Latn,Cyrl;Ainu (Japan);
180;aio;Aiton;Aiton language;;tai-swe;Southwestern Tai;;;;;;
181;aip;Burumakok;Burumakok language;;ngf;Trans-New Guinea;;;;Latn;;
182;air;Airoran;Airoran language;;paa;Papuan;;;;Latn;;
183;ais;Nataoran Amis;Nataoran Amis language;;map;Austronesian;;;;Latn;;
184;ait;Arikem;Arikem language;;tup;Tupian;;;;Latn;;
185;aiw;Aari;Aari language;;omv;Omotic;;;;Latn;;
186;aix;Aighon;Aighon language;;poz-ocw;Western Oceanic;;;;Latn;;
187;aiy;Ali;Ali language;;alv;Atlantic-Congo;;;;Latn;;
188;aja;Aja;Aja language;;csu;Central Sudanic;;;;;Adja,Aja (Sudan);
189;ajg;Adja;Adja language;;alv-kwa;Kwa;;;;;Aja,Aja (Benin),Aja (Togo),Ajagbe;
190;aji;Ajië;Ajië language;;poz-cln;New Caledonian;;;;Latn;Houailou;
191;ajn;Andajin;Andajin language;;;;;;Latn;;
192;ajp;South Levantine Arabic;South Levantine Arabic language;;sem-arb;Arabic;;autodetect;;Arab;;
193;ajt;Judeo-Tunisian Arabic;Judeo-Tunisian Arabic language;;sem-arb;Arabic;;;;Hebr;;
194;aju;Judeo-Moroccan Arabic;Judeo-Moroccan Arabic language;;sem-arb;Arabic;;;;Hebr;;
195;ajw;Ajawa;Ajawa language;;cdc-wst;West Chadic;;;;Latn;;
196;ajz;Amri Karbi;Amri Karbi language;;tbq;Tibeto-Burman;;;;Latn;;
197;ak;Akan;Akan language;;alv-kwa;Kwa;;;;Latn;Twi-Fante,Twi,Fante,Fanti,Asante,Akuapem;
198;akb;Angkola Batak;Angkola Batak language;;btk;Batak;;;;Latn,Batk;Batak Angkola;
199;akc;Mpur;Mpur language;;paa;Papuan;;;;Latn;;
200;akd;Ukpet-Ehom;Ukpet-Ehom language;;nic-bco;Benue-Congo;;;;Latn;;
201;ake;Akawaio;Akawaio language;;sai-car;Cariban;;;;Latn;Acauayo,Acaguayo,Akawai,Acawai,Accawai;
202;akf;Akpa;Akpa language;;alv-von;Volta-Niger;;;;Latn;;
203;akg;Anakalangu;Anakalangu language;;plf;Central Malayo-Polynesian;;;;Latn;;
204;akh;Angal Heneng;Angal Heneng language;;ngf;Trans-New Guinea;;;;Latn;;
205;aki;Aiome;Aiome language;;paa;Papuan;;;;Latn;Aiom,Ayom;
206;akj;Jeru;Jeru language;;qfa-adm;Andamanese;;;;Latn;Aka-Jeru;
207;akk;Akkadian;Akkadian language;;sem-eas;East Semitic;;;;Xsux;;
208;akl;Aklanon;Aklanon language;;phi;Philippine;;;;Latn;Aklan,Akeanon;
209;akm;Aka-Bo;Aka-Bo language;;qfa-adm;Andamanese;;;;Latn;Ba,Bo;
210;ako;Akurio;Akurio language;;sai-car;Cariban;;;;Latn;;
211;akp;Siwu;Siwu language;;alv-kwa;Kwa;;;;Latn;;
212;akq;Ak;Ak language;;paa;Papuan;;;;Latn;;
213;akr;Araki;Araki language;;poz-vnc;North-Central Vanuatu;;;;Latn;;
214;aks;Akaselem;Akaselem language;;nic-gur;Gur;;;;Latn;Tchamba,Akasele,Tsamba;
215;akt;Akolet;Akolet language;;poz-ocw;Western Oceanic;;;;Latn;;
216;aku;Akum;Akum language;;nic-bco;Benue-Congo;;;;Latn;;
217;akv;Akhvakh;Akhvakh language;;cau-ava;Avaro-Andian;;;;Cyrl;;
218;akw;Akwa;Akwa language;;bnt;Bantu;;;;Latn;;
219;akx;Aka-Kede;Aka-Kede language;;qfa-adm;Andamanese;;;;Latn;Kede;
220;aky;Aka-Kol;Aka-Kol language;;qfa-adm;Andamanese;;;;Latn;Kol,Kawl,Aka-Kawl,Bojingiji;
221;akz;Alabama;Alabama language;;nai-mus;Muskogean;;;;Latn;;
222;ala;Alago;Alago language;;alv;Atlantic-Congo;;;;Latn;;
223;alc;Kawésqar;Kawésqar language;;aqa;Alacalufan;;;;Latn;Qawasqar,Alacaluf;
224;ald;Alladian;Alladian language;;alv-kwa;Kwa;;;;Latn;Alladyan,Allagian,Alaguian;
225;ale;Aleut;Aleut language;;esx;Eskimo-Aleut;;;;Latn;Aleutian;
226;alf;Alege;Alege language;;nic-bco;Benue-Congo;;;;Latn;;
227;alg-aga;Agawam;Agawam language;;alg;Algonquian;;;exceptional;Latn;Agwam,Agaam;
228;alg-pro;Proto-Algonquian;Proto-Algonquian language;reconstructed;alg;Algonquian;sortkey;;exceptional;Latinx;;
229;alh;Alawa;Alawa language;;;;;;Latn;;
230;ali;Amaimon;Amaimon language;;ngf;Trans-New Guinea;;;;Latn;;
231;alj;Alangan;Alangan language;;phi;Philippine;;;;Latn;;
232;alk;Alak;Alak language;;mkh;Mon-Khmer;;;;;;
233;all;Allar;Allar language;;dra;Dravidian;;;;;Chatan;
234;alm;Amblong;Amblong language;;poz-vnc;North-Central Vanuatu;;;;Latn;;
235;aln;Gheg Albanian;Gheg Albanian language;;sqj;Albanian;;;;Latn;;
236;alo;Larike-Wakasihu;Larike-Wakasihu language;;plf;Central Malayo-Polynesian;;;;Latn;;
237;alp;Alune;Alune language;;plf;Central Malayo-Polynesian;;;;Latn;;
238;alq;Algonquin;Algonquin language;;alg;Algonquian;;;;Latn;;
239;alr;Alutor;Alutor language;;qfa-cka;Chukotko-Kamchatkan;;;;Cyrl;;
240;alt;Southern Altai;Southern Altai language;;trk;Turkic;;;;Cyrl;Southern Altay,Altai,Altay;
241;alu;'Are'are;'Are'are language;;poz-sls;Southeast Solomonic;;;;Latn;Areare;
242;alv-ama;Amasi;Amasi language;;nic-bco;Benue-Congo;;autodetect;exceptional;Latn;;
243;alv-bgu;Baïnounk Gubëeher;Baïnounk Gubëeher language;;alv-sng;Senegambian;;;exceptional;Latn;Gubëeher,Nyun Gubëeher,Nun Gubëeher;
244;alv-edo-pro;Proto-Edoid;Proto-Edoid language;reconstructed;alv-edo;Edoid;;;exceptional;Latn;;
245;alv-gwa;Gwara;Gwara language;;nic-bco;Benue-Congo;;;exceptional;Latn;;
246;alv-pro;Proto-Atlantic-Congo;Proto-Atlantic-Congo language;reconstructed;alv;Atlantic-Congo;;;exceptional;Latn;;
247;alw;Alaba;Alaba language;;cus;Cushitic;;;;Latn;Alaba-K'abeena,Alaaba,K'abeena;
248;alx;Amol;Amol language;;qfa-tor;Torricelli;;;;Latn;;
249;aly;Alyawarr;Alyawarr language;;aus-pam;Pama-Nyungan;;;;Latn;;
250;alz;Alur;Alur language;;sdv;Eastern Sudanic;;;;Latn;;
251;am;Amharic;Amharic language;;sem-eth;Ethiopian Semitic;;;;Ethi;;
252;ama;Amanayé;Amanayé language;;tup-gua;Tupi-Guarani;;;;Latn;;
253;amb;Ambo;Ambo language;;nic-bod;Bantoid;;;;Latn;;
254;amc;Amahuaca;Amahuaca language;;sai-pan;Panoan;;;;Latn;;
255;ame;Yanesha';Yanesha' language;;awd;Arawakan;;;;Latn;Amuesha;
256;amf;Hamer-Banna;Hamer-Banna language;;omv;Omotic;;;;Latn;;
257;amg;Amurdag;Amurdag language;;aus-wdj;Iwaidjan;;;;Latn;Amarag;
258;ami;Amis;Amis language;;map;Austronesian;;;;Latn;;
259;amj;Amdang;Amdang language;;ssa-fur;Fur;;;;Latn;Biltine,Mimi;
260;amk;Ambai;Ambai language;;poz-hce;Halmahera-Cenderawasih;;;;Latn;Wadapi-Laut;
261;aml;War-Jaintia;War-Jaintia language;;aav;Austro-Asiatic;;;;Latn;;
262;amm;Ama;Ama language;;qfa-mal;Left May;;;;Latn;Ama (New Guinea),Ama (Papua New Guinea);
263;amn;Amanab;Amanab language;;ngf;Trans-New Guinea;;;;Latn;;
264;amo;Amo;Amo language;;nic-bco;Benue-Congo;;;;Latn;Timap,Map,Among,Amap,Amon;
265;amp;Alamblak;Alamblak language;;paa;Papuan;;;;Latn;;
266;amq;Amahai;Amahai language;;plf;Central Malayo-Polynesian;;;;Latn;;
267;amr;Amarakaeri;Amarakaeri language;;sai-har;Harákmbut;;;;Latn;;
268;ams;Southern Amami-Oshima;Southern Amami-Oshima language;;jpx-ryu;Ryukyuan;;;;Jpan;;
269;amt;Amto;Amto language;;paa;Papuan;;;;Latn;;
270;amu;Guerrero Amuzgo;Guerrero Amuzgo language;;omq;Oto-Manguean;;;;Latn;Amuzgo,Xochistlahuaca Amuzgo,Northern Amuzgo,Southern Amuzgo;
271;amv;Ambelau;Ambelau language;;poz;Malayo-Polynesian;;;;Latn;;
272;amw;Western Neo-Aramaic;Western Neo-Aramaic language;;sem-ara;Aramaic;;;;Armi,Syrc,Latn;;
273;amx;Anmatyerre;Anmatyerre language;;aus-pam;Pama-Nyungan;;;;Latn;Namfau;
274;amy;Ami;Ami language;;;;;;Latn;Ame,Amijangal;
275;amz;Atampaya;Atampaya language;;aus-pam;Pama-Nyungan;;;;Latn;;
276;an;Aragonese;Aragonese language;;roa;Romance;;;;Latn;;
277;ana;Andaqui;Andaqui language;;;;;;Latn;Andaquí,Andakí,Andaki;
278;anb;Andoa;Andoa language;;sai-zap;Zaparoan;;;;Latn;Shimigae,Semigae,Gae,Gay,Gaye,Siaviri,Katsakáti;
279;anc;Angas;Angas language;;cdc-wst;West Chadic;;;;Latn;;
280;and;Ansus;Ansus language;;poz-hce;Halmahera-Cenderawasih;;;;Latn;;
281;ane;Xârâcùù;Xârâcùù language;;poz-cln;New Caledonian;;;;Latn;;
282;anf;Animere;Animere language;;alv-kwa;Kwa;;;;Latn;;
283;ang;Old English;Old English language;;gmw;West Germanic;;autodetect;;Latinx;Anglo-Saxon;
284;anh;Nend;Nend language;;ngf;Trans-New Guinea;;;;Latn;Nent,Angaua;
285;ani;Andi;Andi language;;cau-ava;Avaro-Andian;;;;Cyrl;;
286;anj;Anor;Anor language;;paa;Papuan;;;;Latn;;
287;ank;Goemai;Goemai language;;cdc-wst;West Chadic;;;;Latn;;
288;anl;Anu;Anu language;;tbq;Tibeto-Burman;;;;;Khaungtso,Anu-Hkongso Chin;
289;anm;Anal;Anal language;;tbq-kuk;Kukish;;;;Latn;Anaal,Namfau;
290;ann;Obolo;Obolo language;;nic-bco;Benue-Congo;;;;Latn;;
291;ano;Andoque;Andoque language;;qfa-iso;isolate;;;;Latn;;
292;anp;Angika;Angika language;;inc;Indo-Aryan;;;;;;
293;anq;Jarawa;Jarawa language;;qfa-adm;Andamanese;;;;Latn;Jarawa (India);
294;anr;Andh;Andh language;;inc;Indo-Aryan;;;;Deva;;
295;ans;Anserma;Anserma language;;sai-chc;Chocoan;;;;Latn;;
296;ant;Antakarinya;Antakarinya language;;aus-psw;Southwest Pama-Nyungan;;;;Latn;;
297;anu;Anuak;Anuak language;;sdv;Eastern Sudanic;;;;Latn;Anyua,Anywa,Anyuak;
298;anv;Denya;Denya language;;nic-bod;Bantoid;;;;Latn;;
